date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
01/01/1995,city of london,91449,E09000001,17,0,1
01/01/1996,city of london,108999,E09000001,17,0,1
01/01/1997,city of london,116343,E09000001,22,0,1
01/01/1998,city of london,124382,E09000001,48,0,1
01/01/1999,city of london,149143,E09000001,41,0,1
01/01/2000,city of london,173738,E09000001,24,0,1
01/01/2001,city of london,284262,E09000001,24,0,1
01/01/2002,city of london,344239,E09000001,30,0,1
01/01/2003,city of london,261645,E09000001,32,0,1
01/01/2004,city of london,326913,E09000001,98,0,1
01/01/2005,city of london,330363,E09000001,17,0,1
01/01/2006,city of london,316121,E09000001,19,0,1
01/01/2007,city of london,360923,E09000001,20,0,1
01/01/2008,city of london,471861,E09000001,16,0,1
01/01/2009,city of london,400317,E09000001,5,0,1
01/01/2010,city of london,464436,E09000001,20,0,1
01/01/2011,city of london,442413,E09000001,16,0,1
01/01/2012,city of london,525723,E09000001,11,0,1
01/01/2013,city of london,465451,E09000001,16,0,1
01/01/2014,city of london,625001,E09000001,26,0,1
01/01/2015,city of london,783667,E09000001,37,0,1
01/01/2016,city of london,736788,E09000001,15,0,1
01/01/2017,city of london,820305,E09000001,11,0,1
01/01/2018,city of london,802129,E09000001,34,0,1
01/01/2019,city of london,865636,E09000001,10,0,1
01/01/2020,city of london,775309,E09000001,0,0,1
01/01/1995,barking and dagenham,50460,E09000002,96,0,1
01/01/1996,barking and dagenham,50828,E09000002,94,0,1
01/01/1997,barking and dagenham,54459,E09000002,153,0,1
01/01/1998,barking and dagenham,57559,E09000002,152,0,1
01/01/1999,barking and dagenham,64532,E09000002,177,0,1
01/01/2000,barking and dagenham,71079,E09000002,182,0,1
01/01/2001,barking and dagenham,82343,E09000002,215,1771,1
01/01/2002,barking and dagenham,98713,E09000002,216,1751,1
01/01/2003,barking and dagenham,134750,E09000002,254,1652,1
01/01/2004,barking and dagenham,150115,E09000002,321,1768,1
01/01/2005,barking and dagenham,164484,E09000002,183,1694,1
01/01/2006,barking and dagenham,162340,E09000002,208,2002,1
01/01/2007,barking and dagenham,176577,E09000002,257,1790,1
01/01/2008,barking and dagenham,194235,E09000002,215,1667,1
01/01/2009,barking and dagenham,166798,E09000002,48,1660,1
01/01/2010,barking and dagenham,162905,E09000002,73,1603,1
01/01/2011,barking and dagenham,163821,E09000002,92,1485,1
01/01/2012,barking and dagenham,163899,E09000002,81,1538,1
01/01/2013,barking and dagenham,167919,E09000002,92,1558,1
01/01/2014,barking and dagenham,184884,E09000002,127,1311,1
01/01/2015,barking and dagenham,220070,E09000002,204,1308,1
01/01/2016,barking and dagenham,258758,E09000002,158,1423,1
01/01/2017,barking and dagenham,282441,E09000002,129,1379,1
01/01/2018,barking and dagenham,291548,E09000002,154,1502,1
01/01/2019,barking and dagenham,297181,E09000002,119,1576,1
01/01/2020,barking and dagenham,301057,E09000002,0,1680,1
01/01/1995,barnet,93285,E09000003,332,0,1
01/01/1996,barnet,91111,E09000003,357,0,1
01/01/1997,barnet,98559,E09000003,468,0,1
01/01/1998,barnet,115902,E09000003,437,0,1
01/01/1999,barnet,126189,E09000003,417,0,1
01/01/2000,barnet,153676,E09000003,489,0,1
01/01/2001,barnet,175475,E09000003,450,2338,1
01/01/2002,barnet,203249,E09000003,501,2373,1
01/01/2003,barnet,244239,E09000003,507,2614,1
01/01/2004,barnet,259868,E09000003,556,2751,1
01/01/2005,barnet,282820,E09000003,336,2710,1
01/01/2006,barnet,282334,E09000003,435,2551,1
01/01/2007,barnet,306484,E09000003,505,2376,1
01/01/2008,barnet,344480,E09000003,354,2157,1
01/01/2009,barnet,294598,E09000003,139,2201,1
01/01/2010,barnet,316926,E09000003,268,2039,1
01/01/2011,barnet,337575,E09000003,246,2194,1
01/01/2012,barnet,351280,E09000003,300,1996,1
01/01/2013,barnet,362880,E09000003,337,2089,1
01/01/2014,barnet,398384,E09000003,410,1857,1
01/01/2015,barnet,461383,E09000003,353,1994,1
01/01/2016,barnet,512166,E09000003,357,2051,1
01/01/2017,barnet,532924,E09000003,251,2079,1
01/01/2018,barnet,531832,E09000003,247,2258,1
01/01/2019,barnet,528639,E09000003,291,2413,1
01/01/2020,barnet,520682,E09000003,0,2621,1
01/01/1995,bexley,64958,E09000004,269,0,1
01/01/1996,bexley,63996,E09000004,210,0,1
01/01/1997,bexley,67351,E09000004,360,0,1
01/01/1998,bexley,76863,E09000004,293,0,1
01/01/1999,bexley,83064,E09000004,292,0,1
01/01/2000,bexley,94978,E09000004,337,0,1
01/01/2001,bexley,111194,E09000004,369,1711,1
01/01/2002,bexley,124283,E09000004,319,1664,1
01/01/2003,bexley,156081,E09000004,342,1599,1
01/01/2004,bexley,169115,E09000004,454,1617,1
01/01/2005,bexley,186454,E09000004,229,1511,1
01/01/2006,bexley,188013,E09000004,285,1659,1
01/01/2007,bexley,199813,E09000004,391,1354,1
01/01/2008,bexley,220086,E09000004,252,1359,1
01/01/2009,bexley,193105,E09000004,82,1269,1
01/01/2010,bexley,197737,E09000004,126,1139,1
01/01/2011,bexley,200374,E09000004,166,1078,1
01/01/2012,bexley,197427,E09000004,186,974,1
01/01/2013,bexley,209192,E09000004,183,1076,1
01/01/2014,bexley,224321,E09000004,316,966,1
01/01/2015,bexley,261751,E09000004,278,1077,1
01/01/2016,bexley,307550,E09000004,232,1147,1
01/01/2017,bexley,330066,E09000004,228,1099,1
01/01/2018,bexley,342096,E09000004,234,1262,1
01/01/2019,bexley,338708,E09000004,215,1542,1
01/01/2020,bexley,331683,E09000004,0,1616,1
01/01/1995,brent,71307,E09000005,233,0,1
01/01/1996,brent,72806,E09000005,251,0,1
01/01/1997,brent,79664,E09000005,320,0,1
01/01/1998,brent,93746,E09000005,299,0,1
01/01/1999,brent,105461,E09000005,261,0,1
01/01/2000,brent,126785,E09000005,346,0,1
01/01/2001,brent,148306,E09000005,306,2380,1
01/01/2002,brent,168671,E09000005,315,2612,1
01/01/2003,brent,207790,E09000005,359,2532,1
